X,Y,borough,location_i,objectid,shape_area,shape_leng,zone
-74.17677855,40.68951515,EWR,1,1,0.000782307,0.116357453,Newark Airport
-73.82614119,40.62572507,Queens,2,2,0.00486634,0.433469667,Jamaica Bay
-73.84947971,40.86587205,Bronx,3,3,0.000314414,0.084341106,Allerton/Pelham Gardens
-73.97702385,40.72415082,Manhattan,4,4,0.000111872,0.043566527,Alphabet City
-74.18993822,40.55033881,Staten Island,5,5,0.000497957,0.09214649,Arden Heights
-74.06778442,40.59905405,Staten Island,6,6,0.000606461,0.150490543,Arrochar/Fort Wadsworth
-73.92148224,40.76109419,Queens,7,7,0.000389788,0.107417171,Astoria
-73.92319964,40.77860919,Queens,8,8,2.66E-05,0.027590691,Astoria Park
-73.78801939,40.75439917,Queens,9,9,0.000338444,0.099784092,Auburndale
-73.9655685,40.80203268,Manhattan,24,24,6.07E-05,0.046999962,Bloomingdale
-73.79165486,40.67810188,Queens,10,10,0.000435824,0.099839479,Baisley Park
-74.01061458,40.60397814,Brooklyn,11,11,0.000264521,0.079211039,Bath Beach
-74.01548982,40.70248757,Manhattan,12,12,4.15E-05,0.036661301,Battery Park
-74.01611968,40.71161204,Manhattan,13,13,0.000149359,0.050281323,Battery Park City
-73.88692344,40.86876865,Bronx,18,18,0.00014885,0.06979955,Bedford Park
-73.98645967,40.68561568,Brooklyn,25,25,0.000124168,0.04714582,Boerum Hill
-74.0304481,40.62358339,Brooklyn,14,14,0.001381778,0.175213698,Bay Ridge
-73.78799354,40.78524536,Queens,15,15,0.000925219,0.144336223,Bay Terrace/Fort Totten
-73.9942964,40.60962622,Brooklyn,22,22,0.000472063,0.126170229,Bensonhurst West
-74.15934112,40.60742846,Staten Island,23,23,0.002195566,0.290556029,Bloomfield/Emerson Hill
-73.77167563,40.76123433,Queens,16,16,0.000871889,0.141291874,Bayside
-73.94918077,40.69199126,Brooklyn,17,17,0.000322958,0.093522633,Bedford
-73.72789617,40.73647167,Queens,19,19,0.000546661,0.101824875,Bellerose
-73.88603534,40.8577731,Bronx,20,20,0.000134513,0.051440192,Belmont
-73.98130142,40.60204893,Brooklyn,21,21,0.000380251,0.115973569,Bensonhurst East
-73.98956056,40.62861341,Brooklyn,26,26,0.00053404,0.123547807,Borough Park
-73.90978173,40.55894211,Queens,27,27,0.001340888,0.202508809,Breezy Point/Fort Tilden/Riis Beach
-73.8073149,40.71085161,Queens,28,28,0.000291204,0.097960782,Briarwood/Jamaica Hills
-73.99532888,40.69623868,Brooklyn,33,33,0.000147417,0.053270293,Brooklyn Heights
-73.96058036,40.58219337,Brooklyn,29,29,0.000201674,0.071408313,Brighton Beach
-73.87572138,40.85992588,Bronx,31,31,0.000333976,0.096424567,Bronx Park
-73.86462433,40.8644452,Bronx,32,32,0.000150879,0.054267216,Bronxdale
-73.82009794,40.6048767,Queens,30,30,0.000145862,0.094509767,Broad Channel
-73.96770116,40.70256053,Brooklyn,34,34,0.000173946,0.065705932,Brooklyn Navy Yard
-73.91247141,40.66379906,Brooklyn,35,35,0.000323825,0.085787919,Brownsville
-73.91619427,40.69887399,Brooklyn,36,36,0.000247666,0.087050787,Bushwick North
-73.92594082,40.69626287,Brooklyn,37,37,0.000452063,0.14281004,Bushwick South
